0,1,2,3,4,5,6,7,8,9,10
21001,0,3,5,4,27,5,7,10,0.791753821574523,0.7745703346245816
21003,0,1,0,0,3,2,4,1,2.259078814783648,2.733664685001223
21005,1,1,1,0,0,1,0,1,0.32793337838046704,0.35749905840381135
21007,0,0,0,0,0,0,0,0,0.0,0.0
21009,2,5,1,4,3,5,4,6,2.6476693934421993,2.650965027500597
21011,1,2,0,2,3,6,1,2,2.002455323251049,1.4411067120444723
21013,11,0,10,16,143,107,78,42,52.74985657255517,33.17489639015178
21015,10,6,6,9,3,10,4,8,5.471404421243757,4.640385663200218
21017,2,0,0,1,4,2,6,4,3.004064601209928,2.8036590934861945
21019,10,8,10,8,16,38,4,10,10.908237190590452,9.091382337138782
21021,7,2,2,4,9,6,7,9,6.555264603286985,6.447966886744558
21023,0,2,5,0,0,0,0,0,0.7853295198112408,0.45294935783911017
21025,3,0,1,0,2,3,1,0,1.1405998578123278,1.8169287784426835
21027,0,0,1,0,1,0,0,0,0.22084405626540918,0.19268161252895383
21029,0,5,7,4,2,1,4,2,2.6856154290375813,1.3813145793383907
21031,0,0,0,0,0,0,0,0,0.0,0.0
21033,0,0,0,0,3,0,3,1,0.9573821701027223,0.7387435724607188
21035,0,2,1,0,1,1,3,1,0.575944804772009,0.49540093742419866
21037,5,14,15,11,17,17,28,14,14.850053945221653,11.842905366344056
21039,0,0,0,0,0,0,0,0,0.0,0.0
21041,4,1,3,1,4,5,7,7,3.6902612694680426,3.070381833349232
21043,4,6,4,4,9,22,8,7,2.984032876271089,1.671547469600229
21045,7,4,10,7,17,9,5,6,4.858544077153077,4.765028034671747
21047,2,1,0,2,12,5,5,3,2.988291091834369,2.878340613913177
21049,1,0,2,2,16,14,4,5,4.832448804374112,3.393605724073221
21051,8,8,19,38,13,24,25,2,14.944118456033161,7.487474924825403
21053,4,0,0,2,2,4,2,4,0.1589755065906007,0.0
21055,0,0,1,1,0,1,0,0,0.3431251697271082,0.31251784983966147
21057,0,0,0,1,1,1,3,2,1.9903519432580536,1.514930841869269
21059,0,0,0,2,1,3,5,2,1.6335775923670817,1.6849177265931523
21061,0,0,0,0,0,0,0,3,0.12414109653124582,0.09667307598550018
21063,0,1,1,0,10,5,7,3,2.4950966552221283,1.608809835872404
21065,1,1,0,2,9,2,4,2,4.1934927247514215,6.228777353918108
21067,31,18,24,28,29,18,12,24,14.632440090431901,10.971538501893493
21069,6,4,0,2,3,6,5,10,9.817800071244209,7.822764192742174
21071,6,3,3,4,15,40,54,77,42.0602117922595,43.233451990385106
21073,4,6,2,3,4,11,9,9,0.7234838227053345,0.5795654017630714
21075,0,0,1,0,0,0,0,3,0.037431066477548854,0.0
21077,0,0,0,0,3,6,0,1,1.1975239020340407,1.0494813981030664
21079,1,1,0,0,1,0,0,3,1.1049240530506452,1.1749073149244655
21081,0,3,2,1,1,4,8,6,2.7677333708414835,1.303482733957754
21083,0,0,1,0,2,3,0,1,0.34962947735286626,0.3163324336749699
21085,3,0,0,0,0,0,1,1,0.30413725868537034,0.13307662170803383
21087,1,0,0,0,0,0,1,1,0.3042862367890671,0.1330149836400258
21089,2,0,4,12,5,5,10,1,0.7586831607649368,1.1951412031347473
21091,0,0,0,0,0,0,0,0,0.0,0.0
21093,0,4,0,0,4,8,3,1,0.8897043470826995,0.8072562258974505
21095,37,72,158,119,129,95,65,46,52.41909598185764,44.46832007755388
21097,2,0,1,7,4,5,4,2,2.752780419966515,2.259732224752104
21099,0,0,0,0,0,0,1,0,0.05106225286061875,0.026942659126461002
21101,0,0,0,0,1,3,1,0,0.9930008711953444,0.7253076921170423
21103,0,0,1,0,1,3,1,3,1.573760456147014,0.498249652353831
21105,0,0,0,0,0,0,0,0,0.0,0.0
21107,0,1,1,0,2,2,5,4,2.1802280579342774,1.6388703383072443
21109,5,12,4,1,13,2,17,9,13.661930748561236,14.229176303983207
21111,33,33,37,41,33,23,17,21,22.06868962286622,13.054524285653102
21113,13,5,3,1,25,5,7,8,6.160128326383615,3.9219820662361218
21115,2,1,2,40,21,38,8,14,24.674999864775494,14.33059546698287
21117,22,9,11,17,26,22,20,25,17.30771277299333,13.93758801889693
21119,6,0,1,6,2,0,8,7,8.221066500907183,6.428293660472431
21121,11,4,12,33,31,93,35,11,22.60702891104391,15.185419009527248
21123,0,0,0,0,0,0,2,0,0.48316095492654526,0.29142996165243223
21125,7,17,14,47,78,21,7,5,3.6365052063256083,-3.1942649500847287
21127,6,0,0,4,3,5,1,3,1.5854556656685188,0.6869029226469074
21129,0,0,1,6,9,3,5,2,2.2675970884698224,2.069870625615872
21131,1,3,2,5,4,0,11,5,2.447635623741013,2.3940047697996
21133,26,26,7,13,20,13,11,9,10.573427561403268,6.812124347923767
21135,4,0,3,2,9,17,1,27,5.314539224283345,1.5643045462681975
21137,0,0,5,0,2,0,0,0,0.3243815114923095,0.4601928517249361
21139,0,0,0,0,0,0,1,0,0.1951587449609117,0.144182860070131
21141,0,0,0,0,0,3,5,2,1.2555981831148335,1.2549224914426442
21143,0,0,1,0,11,18,16,18,11.3115348010316,8.036731407582645
21145,0,0,0,1,3,1,4,1,0.8112968135412981,0.7555268857817898
21147,4,5,5,5,15,9,4,26,16.101267760849424,11.012144371281405
21149,0,0,0,0,0,1,0,0,0.16074508013497144,0.18667302269212466
21151,15,8,6,9,17,13,12,11,9.819019152277004,9.547509429907485
21153,0,1,0,4,2,9,2,2,4.233056266196976,4.1801225591900595
21155,4,1,3,2,7,4,15,12,6.547398567112151,3.879814044759958
21157,0,1,0,0,1,0,1,9,1.5736117400359269,1.229071087854878
21159,1,0,0,0,2,16,7,13,12.31885141774202,9.306629893103217
21161,18,8,11,8,44,15,9,3,10.539909063839987,9.349355808140354
21163,0,2,2,1,1,1,1,1,1.011736229054727,0.46298655907804753
21165,1,1,0,4,0,0,0,1,0.19458311265517197,0.2974567072497787
21167,1,3,5,2,2,0,2,6,2.0049308130874164,1.9565945145153112
21169,0,0,0,0,0,1,0,0,0.0020812725171722598,-1.9297271616148703e-05
21171,0,0,0,0,0,0,0,0,0.0,0.0
21173,3,2,5,7,12,16,7,10,3.0956903303336087,2.477545289574277
21175,3,1,0,0,3,4,10,7,3.7805961365836303,2.475472259500223
21177,2,1,4,15,9,16,26,22,11.536126667972638,11.395470366662956
21179,0,1,1,3,2,3,4,1,1.2932610322731766,1.2425856478981712
21181,3,0,1,3,2,2,12,2,2.709373070495452,1.6305771740180948
21183,1,0,1,0,0,0,3,0,0.43282399502849067,0.3608375030238375
21185,5,6,6,16,14,28,12,21,15.57139523489542,5.565545400875489
21187,0,0,0,0,0,0,2,0,0.3209503146932083,0.23587636557209726
21189,0,0,1,0,0,1,1,0,0.4449071525288312,0.3681527717547268
21191,2,1,1,3,1,2,0,1,1.0393244084367117,0.5208768734198616
21193,16,16,15,22,24,44,117,68,68.9519144871147,55.26345246046311
21195,7,33,8,18,55,71,37,37,40.93593627395362,28.800393114904377
21197,3,2,0,2,10,5,13,2,2.073422647421871,1.1355099525345314
21199,18,7,9,9,29,32,32,28,20.598268732410272,19.32176416219671
21201,0,0,0,0,0,0,1,0,0.1509997966752494,0.11204173011930102
21203,4,3,2,5,18,10,2,13,5.5485323956715975,5.348541214152919
21205,7,2,8,12,15,22,4,5,3.179397475522047,1.1685127346296078
21207,8,3,2,1,2,2,3,4,0.7113639563208677,0.49056018993274897
21209,1,3,1,19,8,2,5,1,3.3947035829978844,2.763124755886194
21211,0,0,0,0,1,0,3,1,0.8773534096405388,0.3173034287084987
21213,1,1,0,2,4,4,1,0,2.0418728274727513,3.2273193440840955
21215,0,0,1,0,0,0,2,1,0.6713006571470432,0.2214611292351425
21217,1,4,1,6,9,11,4,11,6.136696400006848,4.96891822211334
21219,0,0,0,1,0,1,1,0,0.1832752513645932,0.21082081998041796
21221,0,0,0,0,0,0,2,0,0.21290955547401744,0.20093471789723408
21223,0,0,0,0,2,1,1,0,0.38106316510439164,0.21053901517826532
21225,0,0,0,0,0,0,0,0,0.0,0.0
21227,0,0,2,1,3,3,5,1,2.1167494961118245,1.4331345662755643
21229,1,1,0,0,0,0,0,0,0.04611628473355087,0.06328005344820245
21231,3,1,2,1,11,15,23,17,14.844772589864446,15.416199026710192
21233,0,0,0,0,0,0,0,0,0.0,0.0
21235,15,5,28,66,48,26,25,15,13.051726672637017,4.928969797673303
21237,0,0,0,0,2,5,0,1,1.6862299973147234,2.1338754264696784
21239,0,1,3,1,4,0,2,4,1.6710626550868948,1.1902433726783692
