0,1,2,3,4,5,6,7,8,9,10
21001,3,11,7,9,10,10,9,6,8.29950127621998,7.925739783795656
21003,14,15,8,9,12,57,4,10,21.748285691295273,32.52969971061139
21005,0,1,1,0,2,1,6,7,4.453085454456746,3.831749636121976
21007,0,0,0,0,2,0,1,1,1.027838692218789,2.2844950284807077
21009,22,20,13,27,27,43,52,37,43.87746791812427,41.03503309259241
21011,3,1,3,1,0,3,10,7,6.594759354379037,6.768808590983403
21013,55,62,79,140,47,35,37,83,68.53775080013351,87.37394803803086
21015,7,5,9,4,8,8,10,19,14.481652091623053,19.051146596360102
21017,0,4,0,2,2,3,2,2,3.3081394310449506,3.6488297009615542
21019,11,1,6,10,21,30,34,21,32.027172895755555,39.382299858650946
21021,7,7,1,5,17,4,6,21,13.60173726893153,19.716382338277953
21023,0,2,0,3,3,3,9,4,5.527848882348938,5.72418430371267
21025,3,3,0,5,13,4,5,17,13.763725718104643,14.501037735280343
21027,0,0,1,7,5,5,3,10,8.843277230126771,10.884358220357948
21029,4,3,13,15,28,35,41,41,52.53360126219001,54.53092758532644
21031,4,10,6,2,3,3,1,3,5.167361232838689,5.422601343538956
21033,2,6,12,9,16,28,4,8,16.352242064361192,18.579870921793265
21035,4,18,7,6,11,7,8,2,8.658239376552743,5.985010439318335
21037,7,15,9,19,17,21,37,34,36.00853937551272,38.36020147379405
21039,0,0,1,1,0,0,0,2,1.1821442837263645,1.583694210213546
21041,6,3,8,15,11,23,32,9,21.624760798733895,24.073758594791446
21043,0,0,7,3,6,4,10,17,5.489372781437935,4.611789053193562
21045,1,11,11,5,7,9,7,32,19.29282621441411,16.36605521138818
21047,12,13,16,29,23,9,30,18,21.820350039432228,19.953928150931702
21049,2,2,0,4,0,1,5,6,4.457319024481771,5.787463094404829
21051,1,21,17,26,16,25,58,31,37.05481968208686,33.348921012491566
21053,8,13,8,9,5,4,3,11,9.451123106725882,6.375130552945539
21055,0,8,2,9,8,6,3,8,9.247154979763463,9.59052095137432
21057,4,8,2,4,1,0,3,3,3.425960962243123,3.9773951676133197
21059,8,16,19,16,23,20,29,27,26.27210396414116,23.951347854787432
21061,10,5,8,2,7,9,17,9,12.981963678549821,12.694864987397345
21063,0,0,0,0,0,2,3,12,4.210783693979056,4.632642930143481
21065,4,5,0,5,0,1,0,6,4.372715738990294,3.8539961970528123
21067,15,12,28,27,54,62,73,105,93.08478620254697,115.80939466255792
21069,5,0,8,1,4,14,4,6,8.207509210971983,10.700787779852412
21071,27,42,40,20,14,19,39,74,53.533035687395405,70.3041332520833
21073,9,12,13,4,27,11,17,17,21.53226908822568,18.813639885659967
21075,3,3,1,5,2,5,6,20,12.569647586142333,8.575261071124617
21077,0,0,0,2,5,5,4,2,3.8833242378172006,3.999584133872159
21079,2,1,0,0,1,7,6,6,5.026374567317298,7.009473544750882
21081,1,3,1,12,4,3,7,5,7.572727691696401,8.64418877922088
21083,18,19,23,24,18,23,41,10,27.43794044845672,19.21787507652295
21085,1,3,4,12,10,4,10,19,13.413283696603544,15.82350276991011
21087,5,0,1,0,3,6,2,3,2.3462820596814296,3.357364613211893
21089,1,2,3,5,9,10,5,12,3.03889519198857,2.754388384338957
21091,0,0,0,1,0,0,0,0,0.1465121385244988,0.19043007458648645
21093,13,14,16,31,29,61,54,31,49.72688128581647,37.40894897424518
21095,11,29,25,47,34,93,82,85,85.90779246706062,88.32856186367516
21097,3,1,1,3,13,4,5,10,10.757172654425483,12.494157413997527
21099,0,1,1,6,1,8,9,1,1.236317733165071,2.034957857997332
21101,2,10,2,1,3,2,3,3,3.2019539836434383,2.5672278469133656
21103,2,7,4,5,5,3,2,3,6.856403556393344,3.6940566960656387
21105,0,1,1,2,2,1,2,0,1.6466949228038912,1.2132048913305462
21107,19,13,33,35,56,40,38,33,46.68233994649772,44.75497350491095
21109,2,5,0,16,2,25,29,21,24.30458631456725,27.282633067349153
21111,133,103,157,287,434,539,801,598,820.2365621509751,1255.2609121966238
21113,4,5,14,17,5,12,16,23,21.268748845837546,26.344837229786428
21115,10,6,19,8,16,23,38,48,40.845423403545254,42.74362907765189
21117,16,17,17,25,19,33,46,48,49.361895339035904,50.941311256262765
21119,14,37,5,13,20,21,16,61,44.95094103811772,42.58917597059405
21121,15,31,27,34,38,35,37,70,61.80875746442814,61.78282318731255
21123,2,2,0,1,0,0,2,5,3.5264852255174226,2.9970390531423425
21125,69,26,13,74,93,42,116,91,87.25112385544597,118.82046016127772
21127,6,5,2,2,2,6,6,10,6.686603808563661,5.612495903998579
21129,2,2,6,5,12,5,6,6,8.111987513682562,7.2603870853729235
21131,1,2,7,5,8,10,11,23,8.512852038161455,11.032096936987646
21133,5,22,13,16,16,18,63,48,48.29181602106751,50.51019143621296
21135,10,1,2,0,1,0,3,3,1.0860904357389687,0.9304320754507481
21137,1,3,0,5,2,3,13,4,6.612051507653301,8.626981828718497
21139,1,4,2,3,8,3,3,2,4.481879154449989,6.175179368497285
21141,17,10,12,12,6,9,6,5,9.87061704725165,9.642080112675707
21143,3,11,8,5,16,6,5,11,11.766481617941071,9.262135362071808
21145,12,13,22,42,35,38,22,25,38.179594013886536,29.43612802572665
21147,5,8,11,16,1,3,5,16,12.424406257710729,17.25235799848312
21149,1,1,1,1,1,0,3,4,2.497357361230393,1.9382033020241434
21151,19,16,15,17,41,24,14,32,32.008456273209845,47.3168833211195
21153,3,2,6,2,5,1,7,4,6.096441956914772,7.103240465585228
21155,12,5,14,3,5,10,11,5,9.246277291523407,7.909028070678415
21157,11,4,3,1,3,9,11,2,6.689888719842447,5.001937432745832
21159,16,8,15,0,1,3,11,22,15.907298478032352,13.907793947099501
21161,3,4,4,6,9,19,24,38,31.81493761879612,36.15885967747242
