0,1,2,3,4,5,6,7,8,9,10
39001,6,6,5,7,17,16,15,12,18.2669312566684,20.459774116408905
39003,1,5,0,11,7,2,4,1,2.2085081867667924,1.7180111417371917
39005,12,6,13,17,20,33,33,29,35.718203872522864,35.75014529200632
39007,7,5,7,14,7,20,22,16,21.19777864929519,20.33886774120489
39009,14,18,44,28,45,41,71,33,62.29617149016874,54.73643919389614
39011,0,0,1,2,1,1,3,0,1.4404251345429762,1.377221672149842
39013,1,9,8,14,32,22,33,39,31.891106278603242,32.0685156847305
39015,2,2,21,13,17,39,16,14,30.24679726440358,21.060738581088934
39017,15,23,21,43,44,50,45,50,64.3922873342613,63.79563383604588
39019,1,1,1,0,4,5,1,8,2.7660473038210296,2.7874048021519107
39021,0,0,1,5,8,8,7,0,4.663161377106715,3.926933617337996
39023,1,0,1,1,2,7,18,24,17.622970428642308,17.435071090980863
39025,19,14,23,32,28,27,47,47,48.450291347926424,55.10091649248689
39027,7,7,5,5,17,31,21,40,40.389588871965245,43.49673184198608
39029,2,9,9,13,38,26,48,53,48.58382427081172,51.80981942532491
39031,0,0,0,0,5,3,4,6,5.287434794011058,5.28584124403019
39033,2,3,12,14,41,36,122,64,77.83459998098586,84.4803741453055
39035,36,21,59,54,83,105,106,118,131.68572211191645,123.08799175495744
39037,2,3,0,0,5,3,0,3,2.3228453498884387,1.1225464775982075
39039,2,5,5,10,5,10,7,8,7.012882793553118,5.626073470747343
39041,13,18,5,10,24,25,12,16,20.133070447776838,19.956772877896082
39043,5,7,7,12,13,19,19,12,14.09478814580117,10.038942214511653
39045,16,18,55,39,43,69,81,60,78.61893505379065,91.711464204961
39047,0,0,1,0,4,10,8,4,0.1533358438149736,0.0
39049,29,46,51,95,165,135,196,170,200.94161678988928,223.35024954764265
39051,4,1,4,1,1,2,0,0,1.3929784847446678,1.4715341876258992
39053,20,16,7,9,18,38,39,34,44.59890778059321,34.35388801017303
39055,3,2,0,0,4,14,3,2,5.832505950263061,5.243260102051205
39057,7,3,2,5,7,15,23,18,18.51608991061994,17.805972609730397
39059,6,14,23,42,102,54,54,52,72.4550005362642,78.56303599181257
39061,106,55,41,75,78,79,81,173,136.38129719750862,147.44860726826477
39063,5,4,4,4,19,17,17,15,14.337144634846648,13.158943732723888
39065,9,4,8,17,7,4,4,6,7.24398684727653,6.484454602551474
39067,0,0,0,3,1,6,3,0,2.9366342974259863,3.3035467377137313
39069,0,0,0,0,0,0,0,0,0.0,0.0
39071,7,4,2,3,13,2,11,7,9.814115488760866,10.298254178513409
39073,1,5,3,13,11,11,21,20,23.359473574703408,18.352585229670623
39075,1,2,1,0,1,2,0,3,1.5728551647943991,1.456443310179555
39077,2,5,6,15,17,43,44,11,28.832182250287744,21.636167406173186
39079,6,6,8,38,50,85,66,42,77.06311329718397,66.3830974266533
39081,1,11,3,6,11,7,8,3,9.606499852462608,8.845659373185065
