0,1,2,3,4,5,6,7,8,9,10
39001,9,7,11,21,19,21,29,59,32.89814307400696,36.902197152870826
39003,7,23,15,40,25,46,18,20,29.248031269983553,23.167711851375064
39005,7,12,6,6,9,17,15,13,13.805765171427794,14.493367003799003
39007,9,21,16,33,11,14,14,21,14.394325875872145,12.61263595306165
39009,22,20,20,29,24,28,41,40,31.699256340200428,36.76421647064086
39011,4,6,4,2,3,6,5,4,5.530791578834889,5.462078263052209
39013,9,4,7,15,12,9,30,10,11.683299797571172,18.15578041004638
39015,10,11,12,3,17,27,14,21,19.536138969411883,11.692142809163077
39017,37,39,47,61,62,63,67,80,75.00328554886804,76.45444380021047
39019,0,0,0,0,3,5,7,8,6.20837585840802,6.67287193452428
39021,5,2,22,6,6,4,2,17,11.543353374693266,10.773256290809915
39023,21,31,15,11,9,6,3,3,9.982321176087021,11.467074224426092
39025,13,10,20,16,27,33,44,52,43.2173964979098,53.42135401999858
39027,14,13,20,10,7,10,21,17,17.93875343168276,20.609233701471855
39029,11,23,12,30,11,14,21,9,18.911190437631568,22.25296560398363
39031,0,11,4,1,8,3,3,2,4.376974881745301,4.712630896802408
39033,5,8,10,11,5,5,4,6,7.5404811763292505,8.900668088734948
39035,92,121,125,124,142,151,59,81,82.49192163900373,89.56411515436676
39037,3,7,7,9,2,4,7,2,3.009786748535113,2.802075491467994
39039,8,16,19,12,13,17,13,9,13.96712915393233,12.43201203197059
39041,9,21,15,14,15,20,29,22,24.851815512630985,28.513411139317103
39043,13,21,26,13,25,20,30,19,22.41119477709517,18.60724416551212
39045,12,19,27,31,29,43,50,24,39.07700778455577,45.9448037942192
39047,4,3,4,5,3,5,10,5,3.10750565643017,2.3109613381481755
39049,86,115,87,160,176,114,167,60,149.90583681444636,175.34235339243173
39051,1,2,6,3,5,6,0,3,4.575058073801722,4.938225018264189
39053,12,8,19,10,22,15,33,59,23.55824924271489,33.16593972630643
39055,2,0,1,9,2,4,4,3,3.4176544660000174,2.6186671849930874
39057,28,17,19,25,29,20,33,22,22.63906571019125,19.034222879725515
39059,19,14,20,13,14,11,22,15,12.002865704334745,16.880212586370135
39061,83,82,88,104,109,126,168,347,230.05600634721577,291.6222199147967
39063,7,20,34,17,22,20,42,22,33.23518062148226,31.14979203820497
39065,3,3,12,9,21,14,9,13,15.171726624615848,14.607822814294575
39067,2,4,1,3,6,4,5,0,3.645602503751635,3.5767070338044267
39069,2,2,3,0,4,4,2,0,1.9384480243788516,1.844817141014093
39071,2,3,7,14,7,16,9,20,14.157177181375907,10.304736118244488
39073,8,9,3,5,7,1,4,5,4.9949285446921134,6.234468708930278
39075,1,0,0,2,11,14,2,3,6.062008530171201,6.942418666239086
39077,1,11,13,8,15,17,12,9,9.067274297494814,8.309038185138746
39079,11,42,24,19,33,15,31,27,28.12298774549303,35.007601236532274
39081,2,5,8,4,4,4,11,4,5.168276271381848,4.578874169960267
39083,1,2,0,4,11,8,2,1,4.019206225556491,5.43579161040151
39085,29,24,34,34,32,46,44,39,44.406811371352894,47.49574412638354
39087,6,7,3,12,5,11,10,8,7.676997204305754,11.840825204046618
39089,20,15,28,19,21,48,56,55,52.27779433298169,55.81512121951597
39091,13,8,9,2,0,4,19,10,10.2565855962314,10.804293433768235
39093,19,57,25,8,10,3,6,8,7.001225171452358,6.405890310025066
39095,20,26,31,15,46,45,18,31,35.47658661763787,38.44315020002369
39097,11,14,11,16,7,16,18,20,14.335081930705892,11.920817958179494
39099,30,33,37,68,69,68,80,65,62.14293394033391,50.25853813371623
39101,9,36,15,9,8,15,9,19,17.129029099655334,20.037252601279278
39103,8,9,11,16,22,17,36,28,26.706175019672834,29.20718973381796
39105,0,3,0,0,10,15,11,11,9.573133713740702,11.04324599723766
39107,6,0,2,2,5,2,13,8,6.148354024189404,5.8257727571225235
39109,18,17,13,14,11,12,9,9,14.272917823195732,14.976549993287444
39111,8,5,1,7,0,1,0,0,1.8036957095894366,2.5034866236004096
39113,76,104,119,124,183,160,193,177,201.78804662708973,229.84720898368025
39115,4,1,2,1,0,0,6,14,6.01651892463352,6.6193696388137075
39117,3,9,7,7,8,9,14,5,10.191508568881032,12.52924722787686
39119,16,16,16,13,20,7,6,6,11.559810878900596,11.999205211143535
39121,0,5,1,0,0,0,1,0,-0.7065458780610184,0.6379984239606327
39123,3,7,3,8,14,12,5,8,10.168463162382853,9.949924484181487
39125,3,1,2,6,1,1,0,0,1.87304690820485,1.5206726039020262
39127,5,14,14,11,2,2,26,8,9.559128044910077,7.855585951218831
39129,3,7,6,18,11,19,37,32,30.681474982816606,32.47871948045527
39131,3,4,2,5,7,0,12,9,8.258255123286846,8.534482661539835
39133,7,13,17,29,26,43,34,34,33.669630619649205,28.49097572507545
39135,1,5,3,2,5,17,6,8,8.775121115784533,7.475861918220243
39137,0,0,2,0,1,0,2,1,1.2614236546623705,1.1525289470693771
39139,7,12,12,13,6,5,3,10,7.378604698931953,9.962391184214038
39141,20,16,20,27,18,25,37,69,47.644684215880424,63.056115098024485
39143,14,14,16,9,5,16,4,2,7.868777294501579,5.660327079824329
39145,17,29,11,17,13,45,37,41,35.4340850866019,35.06095256545729
39147,5,6,9,7,8,6,7,12,6.752913780445561,8.52517403999729
39149,9,2,3,4,1,20,10,16,11.307349508540499,11.599584241130389
39151,37,64,34,60,6,12,72,67,50.00014511874479,62.66735418645973
39153,34,20,32,19,22,23,28,54,26.873079734321205,34.304712115111215
39155,27,42,47,55,43,49,33,54,41.18754914504602,35.93636054923377
39157,16,12,15,12,10,7,14,14,12.149423132920662,15.828165546457628
39159,7,4,3,2,2,16,11,7,7.168310788329827,11.553827408883166
39161,3,6,1,9,5,11,6,6,3.763901767933973,2.8616072079302577
39163,0,7,9,7,8,3,8,5,7.2071577610982445,9.01601371955675
39165,26,34,28,36,49,34,41,44,36.40662438592298,30.080831041090295
39167,21,14,13,22,20,22,23,24,20.946157878409963,22.274284575424566
39169,6,17,16,15,21,15,24,19,20.31148057465973,17.752547578663467
39171,0,0,0,0,3,0,2,0,0.5560076575483344,0.41595442272108185
39173,0,5,10,15,26,20,19,15,19.130998839014943,17.16505597915038
39175,6,3,4,8,3,0,1,0,2.9157217100954305,3.2782137420876087
