0,1,2,3,4,5,6,7,8,9,10
42001,0,1,4,0,6,5,5,1,3.2670609556606305,3.932598944744128
42003,70,78,105,128,154,187,201,198,233.058049446257,233.54313794872286
42005,2,1,2,1,3,8,5,3,0.7482082541083643,0.8875406578934985
42007,7,2,5,5,1,9,6,9,8.652802514715392,8.711932404471657
42009,0,2,5,0,8,6,3,3,1.5810922390789321,1.7434048888903484
42011,6,6,4,21,13,20,12,13,14.704804800575586,15.02085764251636
42013,6,6,10,16,5,14,15,17,4.877757987309595,4.556270538971094
42015,0,1,4,5,10,15,10,13,1.823746193679939,1.6594769300106298
42017,2,1,7,24,1,30,59,63,58.89638422430231,67.9238774401898
42019,0,1,3,2,1,2,3,6,3.7060644937684546,3.666620180610816
42021,0,5,6,9,9,9,7,13,3.5251625823233645,3.336700414638788
42023,0,0,0,0,2,0,0,1,0.015041661536851108,0.014992399974237906
42025,0,1,1,4,12,2,10,5,7.740767359244956,7.896762733114204
42027,19,0,8,3,9,4,11,5,6.069922449176102,7.419157861635652
42029,3,13,15,12,19,16,24,23,26.329294594966818,31.22853708403128
42031,0,1,0,2,6,4,4,3,0.6136886184806778,0.6533620859730965
42033,1,1,6,5,6,4,3,14,0.20332170429151727,0.23266285977773768
42035,0,6,6,7,5,1,3,1,5.27379734546169,5.116808604323382
42037,1,0,3,1,1,1,4,4,2.680511576054819,2.5637517467239364
42039,6,19,15,6,17,8,11,15,3.9708646550915345,5.067911224616681
42041,0,0,3,1,0,4,1,2,2.230605797028217,1.9982740951159972
42043,14,9,24,21,17,18,32,27,28.186503209186714,26.039840827630634
42045,25,24,39,50,47,32,44,61,45.883277975223756,59.54204321470591
42047,2,1,6,3,1,2,1,3,0.3580850141579327,0.31242202958557447
42049,14,14,22,21,31,36,48,42,48.80708947674781,50.99807535069576
42051,8,17,17,32,24,39,53,42,46.29489666991068,49.08691930360725
42053,0,0,1,0,0,0,0,0,0.007571488193431156,0.007636391914552034
42055,4,2,4,3,6,8,12,9,1.9729633250858187,2.3250341265957544
42057,0,0,0,0,2,0,3,5,2.459019946176994,2.5225518307483097
42059,0,4,0,4,3,3,2,4,3.7406675291556724,3.6038551481616645
42061,1,1,0,1,6,3,18,2,2.1144892914646793,2.308082391576116
42063,1,2,0,0,6,5,12,5,5.152667532044885,9.993955254473686
42065,3,1,0,4,1,3,7,7,5.515568718768006,5.581435171929247
42067,0,0,0,0,0,2,0,0,0.26679283952485455,0.5768441110080046
42069,8,3,4,5,8,7,21,32,12.094105102650648,9.67995409044871
42071,11,7,11,15,10,16,18,33,19.892773766578404,18.383194378087225
42073,5,2,3,23,9,7,8,7,11.693051588980945,11.326753326082518
42075,17,1,7,14,13,19,11,5,12.789878640074418,12.392205018838744
42077,1,5,4,7,3,13,28,8,10.581164331594664,12.275401310198623
42079,9,9,23,34,36,21,18,9,14.500212796827862,9.162377498313903
42081,5,6,2,7,7,7,9,3,2.017613910630892,2.604088062450344
42083,1,4,6,5,10,6,10,14,12.702604538338509,13.4917416956634
42085,3,5,6,5,10,12,14,18,3.1839949449667815,3.6607540155641143
42087,2,0,4,1,1,3,5,6,2.8247236265638747,3.501129703898648
42089,0,2,3,1,7,8,10,6,0.21085151226038812,0.2113907512551063
42091,0,0,1,1,7,2,8,3,1.0951697491992982,1.3872602582015805
42093,0,0,0,5,1,0,1,0,1.1512329302032156,1.0280681884386584
42095,0,3,1,4,8,7,14,14,12.237683124153325,13.00694683866173
42097,0,1,3,4,4,4,6,5,4.904844198790479,4.859795622542804
42099,0,0,0,2,4,16,14,20,3.105274167077976,3.166318062194186
42101,24,30,55,88,96,147,147,194,190.32867460769302,228.5617803206489
42103,0,1,0,2,1,0,5,3,2.4524365739727934,2.610586090550868
42105,0,2,1,3,5,6,9,4,6.387578627220607,6.400979462785041
42107,10,22,25,26,23,29,42,24,32.43223268417407,26.89097783861807
42109,2,1,1,0,2,2,3,0,0.4803760117269188,0.5454434428097582
42111,0,1,1,1,2,1,7,11,5.508424191154357,11.188704364549443
42113,1,0,0,0,0,2,0,0,0.010718500093287085,0.010748502728750022
42115,3,0,1,6,1,1,1,2,0.31599137506918407,0.4574974095782455
42117,1,0,4,2,3,0,6,0,0.08417295309748421,0.08439401024348439
42119,0,0,0,0,0,6,8,1,2.0623088034938766,2.0170528338550073
42121,4,2,1,3,3,5,7,8,6.221631292641932,6.671123133224329
42123,0,1,4,3,0,8,5,19,1.8855888288876168,1.4992770545636676
42125,3,9,26,19,18,15,19,28,32.4036373032518,33.609613559453265
42127,0,0,0,0,0,12,4,6,0.9814461571924995,0.9381321863182369
42129,5,13,9,21,20,21,43,87,56.14354175245796,62.112050424127276
42131,0,3,2,6,4,3,1,8,2.9417973965434245,2.2154457056005876
42133,15,13,27,21,30,39,41,32,35.53378616795898,34.575375156763705
