0,1,2,3,4,5,6,7,8,9,10
51001,0,3,2,0,2,4,2,4,0.0732649873307163,0.0
51003,1,0,0,0,3,1,4,1,2.099507991932718,1.9192993837024226
51005,1,0,1,0,3,7,5,17,6.700782654751158,8.350060042318976
51007,2,0,0,0,0,1,0,0,0.22971796007296297,0.22259600741810756
51009,0,2,0,1,1,3,3,3,3.3106503295868217,3.634693237308571
51011,0,0,0,1,2,0,1,4,1.849911888690495,1.834461215282185
51013,8,3,8,10,6,13,18,21,15.78822034033426,6.487665172210126
51015,0,1,0,0,21,15,20,8,8.184814497789084,6.5183848527541635
51017,0,0,0,0,0,0,0,1,0.4089770494423499,0.2850670612372718
51019,0,1,5,10,14,16,11,13,18.119066681428,20.62084183073322
51021,1,0,0,5,0,5,2,5,4.8374393328024485,4.812404830472543
51023,2,2,0,0,3,4,11,2,5.467109523851766,7.015460092050734
51025,0,0,2,3,3,2,2,6,0.05858089762626412,0.0
51027,8,13,19,54,43,86,65,103,102.14818333306515,113.18718743134997
51029,1,0,0,1,0,3,3,5,3.4257033797797294,3.4852792241417783
51031,0,0,1,1,3,4,14,5,6.802773483109925,6.664408903991987
51033,0,1,2,1,0,1,1,5,2.3194484155665274,2.4720525870087604
51035,6,6,4,0,4,7,3,3,4.758654954474773,6.350883031202201
51036,0,0,0,0,0,0,0,0,0.0,0.0
51037,0,0,0,0,0,7,1,3,0.24829179913074056,0.8345240464916301
51041,10,7,29,17,32,31,51,27,38.00759120407399,41.79766882260244
51043,0,0,0,0,3,1,0,0,0.7313191324740527,0.6333240526570123
51045,0,0,0,0,1,1,0,0,0.0045688309381644735,-0.0002847925208375521
51047,1,0,3,0,15,4,10,12,7.989553692189302,6.783380076910642
51049,0,0,1,0,1,0,1,3,1.2842129894528385,1.2903743602014466
51051,14,6,3,12,24,12,25,28,26.447046934308215,14.073075995065453
51053,0,0,0,0,2,0,0,1,0.7555269769187692,0.8178676529658305
51057,0,0,0,0,0,1,0,0,0.15625176279765993,0.17704587416780956
51059,21,31,31,25,27,43,35,31,38.73114055859529,16.742229893637177
51061,1,4,11,17,16,17,6,15,15.913172062360067,9.180346858879131
51063,1,0,1,2,0,0,4,1,1.5866196529542913,2.0850001871322914
51065,0,0,0,0,0,0,1,0,0.3001809607165982,0.3273029889965453
51067,2,1,3,6,9,1,8,15,7.491857316008108,5.491244613465092
51069,7,12,9,18,17,27,14,18,19.074148601694784,19.39065774272704
51071,7,5,12,9,14,5,20,17,16.17357233304475,21.377351766031815
51073,1,0,1,0,0,3,2,7,3.195642981237843,2.3639499135408952
51075,1,0,0,0,0,1,2,2,1.4724398247401675,1.530722579631147
51077,0,0,0,0,2,2,5,4,2.6902381542682416,3.5546347828210907
51079,0,0,1,0,0,1,2,0,0.7769343137922029,0.8485334282564267
51081,2,2,0,0,1,0,3,0,0.01446915165253679,0.0
51083,1,6,4,14,14,5,4,24,2.2988323999247657,3.1600248028325804
51085,5,9,13,8,19,7,5,18,13.979884150798997,13.934236954652194
51087,10,10,15,24,19,46,42,70,53.637791691016595,56.6664853641261
51089,0,1,0,0,4,1,3,6,3.1344488373787245,3.680526252041655
51091,0,0,0,0,1,0,0,0,0.16365515642598633,0.23392246520578386
51093,0,0,1,3,0,1,0,0,0.1428535078652281,0.017628476718647597
