0,1,2,3,4,5,6,7,8,9,10
54001,1,1,0,0,0,0,0,0,0.011969375150854828,-0.0008998803740030879
54003,7,15,16,7,5,4,7,4,3.185918262908066,0.7291734905966537
54005,0,5,1,1,2,2,1,2,1.0086412097906632,0.7539466048147531
54007,1,2,2,1,3,1,4,2,1.2741837412449872,0.9586666104197972
54009,0,0,0,0,0,0,0,0,0.0,0.0
54011,3,6,0,0,0,1,0,1,0.2558318745974106,0.017308912553143242
54013,0,0,0,0,0,0,2,1,0.28202340556999816,0.10960911189386563
54015,0,0,0,0,2,0,0,0,0.1570010148915926,0.13797085544542992
54017,0,0,5,30,2,2,4,3,0.9712568075032583,0.23309758968066127
54019,0,0,0,0,0,3,0,1,0.4452308933320696,0.3476486866519294
54021,0,0,0,1,0,0,0,0,0.05545876138775814,0.04778660496080907
54023,1,0,0,2,4,3,5,0,0.017375446844962655,0.0
54025,2,1,0,0,10,11,1,3,0.6143835476041527,0.01729667888892006
54027,0,4,7,7,1,2,0,1,1.0197279364273555,0.48907763651214
54029,2,2,1,1,2,0,8,6,1.4596362380619978,0.09738948940299155
54031,1,1,2,1,2,2,1,0,0.09254314070118098,0.05901419982536863
54033,0,2,17,12,9,12,11,10,8.425367752964574,6.354525963262059
54035,2,0,0,0,3,3,3,4,2.8453380508616566,1.3623605838983928
54037,4,0,2,0,0,0,0,1,0.21012827193995925,0.03020938582676087
54039,12,9,8,4,9,3,2,11,5.696555561030717,3.012379873229305
54041,0,0,3,6,8,22,1,3,1.9222895989490454,1.2923027407111525
54043,0,0,0,0,0,0,0,0,0.0,0.0
54045,11,4,2,2,20,14,37,13,13.554879684485261,12.49777615277529
54047,2,2,1,2,5,6,5,0,1.5274967412038831,1.3674736067929114
54049,2,8,4,1,1,0,4,0,0.48796857919273107,0.006172482497491932
54051,0,1,2,6,17,25,28,13,16.907506296852933,9.106440384262996
54053,1,0,0,1,0,1,0,0,0.17085682660286053,-0.00043547968904188855
54055,5,2,2,0,2,74,12,8,7.874950329576458,1.8046533664017135
54057,0,1,1,0,0,0,0,0,0.0037980520848299175,0.0
54059,0,0,0,5,0,2,0,0,0.08494272927792135,0.12511789285619007
54061,0,0,0,0,0,0,0,0,0.0,0.0
54063,1,0,0,0,0,0,0,0,0.0,0.0
54065,2,0,5,1,1,0,1,1,0.8264394522148722,0.3650003032841346
54067,0,1,5,3,2,17,39,27,13.229377629855612,10.695348508659569
54069,1,1,8,10,8,8,4,1,0.257890697067405,0.0
54071,0,0,0,0,0,0,0,0,0.0,0.0
54073,0,0,0,2,0,1,0,0,0.15100550767374946,0.028029669367635603
54075,0,3,3,6,1,12,7,10,1.2161951178317938,1.5420827637527106
54077,1,0,4,1,0,8,0,0,0.4387681174899431,-0.0021480509273642794
54079,0,0,1,0,1,0,0,0,0.02290689844036064,-0.00959881772701939
54081,4,5,0,1,4,7,7,1,1.165681686934068,0.5080482832763789
54083,0,10,2,21,12,0,10,1,1.1650298471484923,0.6757350964700407
54085,0,0,0,1,0,0,3,0,0.639086711705858,0.4673483651534691
54087,0,0,0,0,0,1,3,0,0.9096754460381509,0.5497458994234091
54089,0,1,0,1,0,0,0,0,0.0054039356992163405,-0.0008547324925223649
54091,0,0,0,0,1,0,0,0,0.0013933954751308858,0.0
54093,0,0,0,0,1,0,0,1,0.09880226507384457,0.007986063845454108
54095,0,0,0,0,1,1,0,0,0.17365182359250522,0.05190725970497167
54097,4,2,6,1,0,0,3,1,0.24159974569258974,0.16904333693049806
54099,1,0,0,1,6,3,15,4,5.052526846133717,4.270997132560043
54101,0,0,2,5,0,3,14,2,1.1214280939927737,0.8783493166005392
54103,0,1,1,0,2,1,1,0,0.239937487797892,0.042085523117630405
54105,0,0,0,0,0,0,0,0,0.0,0.0
54107,1,0,0,0,0,8,7,4,4.587137615032795,2.125229409413342
54109,0,1,1,1,0,0,0,1,0.7736512880201827,0.3020392489078556
