0,1,2,3,4,5,6,7,8,9,10
54001,2,0,0,3,0,0,0,0,0.030903941606457864,0.018079375163482805
54003,0,0,0,0,1,4,6,6,0.20098991502230285,0.1639800290657302
54005,0,0,3,1,2,5,16,14,5.653496746142066,4.897938606595582
54007,1,2,1,4,8,20,18,35,11.873256166544072,13.43132844049215
54009,0,0,0,0,0,1,2,3,0.07984751679803477,0.08007501781065575
54011,0,10,0,1,10,11,15,16,5.0406261083370625,4.0036268126002375
54013,2,0,0,2,0,6,0,1,0.4503048902268276,0.9259573118364913
54015,0,0,0,0,9,1,4,9,3.029623452046152,2.1975088124359927
54017,0,0,0,2,4,5,1,6,1.6252231709077523,2.277326166941812
54019,0,0,0,0,3,10,3,8,3.4924702822759044,3.0719943856821197
54021,2,0,0,0,4,1,1,0,0.38321826133080633,0.31525890901960046
54023,0,0,0,8,4,6,0,10,0.12587957613849338,0.06633260663766886
54025,1,1,16,8,9,8,7,3,6.98153610132922,6.869280929680473
54027,0,0,0,0,2,9,4,0,0.21210254465949838,0.18359526489233502
54029,0,0,2,0,3,1,5,4,0.1970356150492465,0.1663801659191167
54031,0,0,1,0,1,1,3,5,2.6102966426149377,3.282118814692389
54033,8,4,4,22,23,18,16,8,8.900497978768167,7.749088146192282
54035,0,2,1,10,4,4,14,2,6.4780734219200795,8.290250225217042
54037,0,0,0,0,0,2,0,0,0.04659599344744419,0.04440322982463883
54039,22,12,6,36,41,61,91,94,95.98122597614278,108.28007620652744
54041,1,2,5,23,37,2,0,0,0.6859043071445675,0.09422960195519574
54043,0,0,0,1,0,0,0,0,0.09886468463647209,0.1332982791714703
54045,5,11,5,19,19,36,29,30,30.828507850298514,28.520583052364838
54047,0,1,12,2,6,4,9,8,7.407933593544,8.33686977504689
54049,9,0,2,3,4,6,11,13,1.384005170506895,1.4071696790979948
54051,1,2,3,13,3,6,8,7,8.006501402802279,10.02998790678339
54053,0,0,0,0,1,0,0,5,2.83125930605922,2.918765554430934
54055,7,5,13,14,59,30,40,62,43.387444214541325,55.85484497163131
54057,0,0,1,2,0,0,1,1,0.018954727572652524,0.012708280217631922
54059,0,1,0,3,23,13,7,41,9.317885167644357,13.239843367867788
54061,0,0,0,0,4,0,0,0,0.15614434930500162,0.06323943120087518
54063,0,0,0,4,2,2,5,12,5.690044370692309,7.5688816131899515
54065,3,0,0,4,0,10,2,2,3.635208011138588,4.456345364233183
54067,5,11,15,17,32,20,4,19,9.619257410444852,8.857865141163689
54069,0,1,1,2,19,4,3,5,0.3982282110293822,0.46487103089566856
54071,0,0,0,0,0,0,0,0,0.0,0.0
54073,0,0,3,1,1,0,0,0,0.5889523167039293,0.7860250768951487
54075,2,2,2,2,2,14,18,3,3.542617522283852,6.5122407578048
54077,0,0,1,0,4,10,0,6,0.4084099071630297,0.4912876957308844
54079,0,1,1,2,4,2,5,15,2.503424026681994,1.7189521479418448
54081,7,18,11,17,22,14,33,23,21.175753742356783,27.857590978820067
54083,2,6,0,4,9,2,0,0,0.186815565099724,0.233703772851593
54085,0,0,0,0,0,8,3,1,2.993181654773419,3.462632164828186
54087,0,1,1,1,0,1,2,2,2.160106908987565,2.639642915926564
54089,0,0,0,0,14,0,4,1,2.9824137775390422,3.641763521385148
54091,0,0,0,0,0,0,0,0,0.0,0.0
54093,1,0,0,0,0,0,0,0,0.0,0.0
54095,0,0,0,0,0,0,2,2,1.9344727811860263,2.2416279617927404
54097,0,1,0,2,16,22,19,49,13.29809555723572,21.74719949675746
54099,2,0,0,2,4,0,6,9,4.142144920052836,3.968571493210643
54101,7,4,3,12,8,1,6,0,0.9936404650042598,1.2087892291363638
54103,0,0,3,2,0,2,1,4,0.38444748806663903,0.4359582523169896
54105,0,0,0,0,0,0,0,1,0.48105493652410913,0.5288467079834608
54107,8,11,21,29,21,17,4,15,19.411338285047187,23.843388234328604
54109,0,1,0,1,0,0,5,1,1.6913460886915113,2.1413531464040085
