YYYY,State,components,ratio,score
2010,KY,1,0.8884072985720874,0.7324477776314942
2010,KY,2,0.9090752048415962,0.8051422514554375
2010,KY,3,0.9251941323155308,0.7008413978974103
2010,KY,4,0.9391191658547914,0.7682799280342515
2010,KY,5,0.9500350413233766,0.8018216375986176
2010,KY,6,0.9586194974721373,0.7178099987517522
2010,KY,7,0.9663216601592075,0.7761950228694343
2010,KY,8,0.9732364756251897,0.5245629815541089
2010,KY,9,0.9778744727769059,0.5122677237501031
2010,KY,10,0.9821289785926781,0.7008242285150115
2010,OH,1,0.8638421850820724,-3.4245254568047203
2010,OH,2,0.9021630699633272,-0.47173882679281204
2010,OH,3,0.9257087947748978,-3.5723420491948965
2010,OH,4,0.944306710494023,-6.287303596877442
2010,OH,5,0.9605154288335102,-8.364128947887904
2010,OH,6,0.9671720850007804,-4.948541585315584
2010,OH,7,0.9730189509744852,-0.4998358268758403
2010,OH,8,0.9778745868160472,-4.523962821493034
2010,OH,9,0.9819455953774868,-0.5723795672726035
2010,OH,10,0.9857404420287118,-7.305061188743966
2010,PA,1,0.8082894230572261,0.05381284388667631
2010,PA,2,0.8916503584839262,0.2758469412412863
2010,PA,3,0.91469187176305,0.45586937992112864
2010,PA,4,0.9334287925963503,0.5739689824318687
2010,PA,5,0.9460286345659523,0.3586730032087022
2010,PA,6,0.9547824171070819,0.03853158626509695
2010,PA,7,0.9630651530409478,0.29655046524604634
2010,PA,8,0.9701035811331359,0.27362631787727487
2010,PA,9,0.9752974879542711,0.6341488008993997
2010,PA,10,0.9788937675930028,0.5889020967454852
2010,VA,1,0.8640608683168404,0.5782077660773663
2010,VA,2,0.913598175661912,0.639191778503399
2010,VA,3,0.9337447664844368,0.5622162511757326
2010,VA,4,0.9460927713356166,0.7138642071737795
2010,VA,5,0.9555873812839091,0.6879503729391951
2010,VA,6,0.9635058797281815,0.6191566318296006
2010,VA,7,0.9696894423896938,0.7291409288421052
2010,VA,8,0.9756084846688129,0.6398379238856415
2010,VA,9,0.9805422493212994,0.5316993913564041
2010,VA,10,0.983113486316412,0.19605729387995732
2010,WV,1,0.7474145976099218,0.26758364488236613
2010,WV,2,0.825722779193563,0.21768257656107606
2010,WV,3,0.85532774724837,0.5897571596871334
2010,WV,4,0.8783056184284159,0.46922762498286874
2010,WV,5,0.8930378183994231,0.42993596882605
2010,WV,6,0.9071700005650413,0.4649649590407103
2010,WV,7,0.9186151847823341,0.004463284291349512
2010,WV,8,0.9287408453604358,0.0785452059360305
2010,WV,9,0.9380318322047575,-0.4067364666300689
2010,WV,10,0.9446748567689015,-0.9908458595211027
2010,All,1,0.7863697184852055,-0.17055120371833105
2010,All,2,0.8500194640880407,-0.5802593325495637
2010,All,3,0.8831540595295336,0.1960514357786268
2010,All,4,0.9022584663765653,-0.5245285044300283
2010,All,5,0.9194009186536938,-0.01072655439907082
2010,All,6,0.9320623649538681,0.27878692134919497
2010,All,7,0.9415527312409749,-0.101257194725493
2010,All,8,0.9491044294147921,0.030548837439570587
2010,All,9,0.9561211328085665,-0.11050160886026235
2010,All,10,0.9626802020613411,0.12804758945259404
